.chain,.iteration,.draw,1,2,value,type
1,1,1,2.15986,0.712848,10.7162826138433,Lognormal
1,2,2,2.12119,0.678561,136.833787082064,Lognormal
1,3,3,2.12269,0.718956,16.6024596394774,Lognormal
1,4,4,2.12408,0.885907,11.8388305993515,Lognormal
1,5,5,2.23816,0.847817,11.1175956016728,Lognormal
1,6,6,2.21276,0.860991,12.1165012244522,Lognormal
1,7,7,2.13104,0.762734,1.35695347239999,Lognormal
1,8,8,1.85491,1.01316,6.32649662677955,Lognormal
1,9,9,1.90924,0.944891,13.5825164559725,Lognormal
1,10,10,2.16784,0.777142,3.74708065277379,Lognormal
1,11,11,1.99784,0.782985,12.5595665486684,Lognormal
1,12,12,2.23078,0.741599,7.25455943863929,Lognormal
1,13,13,1.88833,0.963403,8.60182811365071,Lognormal
1,14,14,2.26059,0.87847,27.5854592779233,Lognormal
1,15,15,2.09172,0.698726,8.56714177140603,Lognormal
1,16,16,2.1073,0.897385,10.3660373393844,Lognormal
1,17,17,2.04835,0.77633,18.5691901895247,Lognormal
1,18,18,2.24347,0.900549,15.1449329170848,Lognormal
1,19,19,2.01525,0.811653,8.55989969229288,Lognormal
1,20,20,2.34103,0.729198,12.0508648951137,Lognormal
1,21,21,2.17974,0.971763,5.37082122084355,Lognormal
1,22,22,1.99966,0.834272,1.74727773659443,Lognormal
1,23,23,2.1705,0.741714,8.41558826286395,Lognormal
1,24,24,2.33606,0.788532,45.4321385301681,Lognormal
1,25,25,2.08846,0.91133,39.8901149686828,Lognormal
1,26,26,2.13668,0.677552,16.1325461720341,Lognormal
1,27,27,2.10698,0.666869,18.8229696040505,Lognormal
1,28,28,2.09844,0.891527,16.7611233494299,Lognormal
1,29,29,2.23235,0.786462,23.2602862820265,Lognormal
1,30,30,2.00869,0.692043,3.43201384128378,Lognormal
1,31,31,2.03223,0.720566,5.84349293842241,Lognormal
1,32,32,2.07558,0.728832,18.1652528514207,Lognormal
1,33,33,2.00714,0.739181,14.084488990605,Lognormal
1,34,34,2.15363,0.890663,8.48945134059357,Lognormal
1,35,35,2.39496,1.18224,11.8532827152767,Lognormal
1,36,36,2.18278,1.18057,15.3394628070124,Lognormal
1,37,37,2.32171,1.00746,18.3605602458835,Lognormal
1,38,38,2.45488,0.96936,25.6966719505656,Lognormal
1,39,39,1.96275,0.808888,2.39291954775981,Lognormal
1,40,40,2.06223,0.728839,17.7367441413103,Lognormal
1,41,41,2.18196,0.733502,15.9472466465725,Lognormal
1,42,42,2.20804,0.787098,10.0305312934909,Lognormal
1,43,43,2.17448,0.799665,3.08965593016975,Lognormal
1,44,44,2.24306,0.993994,35.6390795566127,Lognormal
1,45,45,1.96315,0.902729,11.0558247632261,Lognormal
1,46,46,2.15731,0.846646,9.05847565343614,Lognormal
1,47,47,1.9997,0.963193,5.29367692293592,Lognormal
1,48,48,2.03609,0.952142,4.31775872645348,Lognormal
1,49,49,2.02472,1.01373,4.96235435429674,Lognormal
1,50,50,2.02973,0.986601,23.9095448883602,Lognormal
1,51,51,2.10881,0.912713,12.8341618213142,Lognormal
