MCMC_Iteration,Pathogen_Name,R0_sampled,SI_Clust_sampled,CFR_sampled,Presymp_Proportion_sampled,Route_resp,Route_direct,Route_sexual,Route_animal,Route_vector
1,COVID-19_WT,2.673128565054656,4.659783049756064,0.03481707795386477,0.3356,1,0,0,0,0
1,COVID-19_A,4.368064173209932,4.428538326605924,0.02313875642671145,1,1,0,0,0,0
1,COVID-19_D,6.053149108225682,3.574749161367403,0.011972358215407854,1,1,0,0,0,0
1,COVID-19_O,10.302190417172852,3.03459574828388,0.0034916736171199106,0.4082,1,0,0,0,0
1,Ebola,1.9080535957597868,16.417372888344037,0.6216764837392801,0.001,0,1,0,1,0
1,Marburg,1.6037684449189553,7.201361241437126,0.8255676921522944,0,0,1,0,1,0
1,Lassa,1.1019464584166072,21.995570597726292,0.33897151743537524,0.6282,0,1,0,1,0
1,CCHF,0.009464685283263524,6.592880411314681,0.117,0.0028,0,1,0,1,1
1,Nipah,1.5786103793639124,14.182010696092927,0.6098232922596377,0.0108,0,1,0,1,0
1,Zika,0.08572837568236255,10.492358993020185,7.729981709100264e-7,0,0,0,1,0,1
1,Mpox,1.8057120446185335,7.664020643795851,0.030437377448228074,0.387,0,1,0,1,0
1,H1N1_18,1.8500349907460563,3.08589375580103,0.024662194529996052,0.0824,1,0,0,0,0
1,H2N2,1.5639462915418298,3.6256745489688686,0.02,0,1,0,0,0,0
1,H3N2,1.777403027725786,3.316641104735235,0.02,0.039,1,0,0,0,0
1,H1N1_09,1.6549351461940933,2.178619994472477,2e-4,0,1,0,0,0,0
1,H5N1,0.08278561502262197,6.818349573980734,0.7468876791749269,0.1972,1,0,0,1,0
1,SARS,1.973206287517706,0.9679742950455111,0.10584899339500527,0.0062,1,0,0,0,0
1,MERS,0.8221029040714243,13.179708496172,0.38333427216540217,0,1,0,0,1,0
2,COVID-19_WT,2.8444367285724605,5.020610048288074,0.024383197708038658,0.331,1,0,0,0,0
2,COVID-19_A,4.505716430222288,3.929832999969773,0.027157175355739277,0.993,1,0,0,0,0
2,COVID-19_D,5.908965280443992,3.4945046393313595,0.019709142689942907,0.9696,1,0,0,0,0
2,COVID-19_O,9.656915752016316,3.351453242802224,0.006984605369731228,0.9972,1,0,0,0,0
2,Ebola,1.7974139857845397,14.110558054624766,0.6364563959221556,8e-4,0,1,0,1,0
2,Marburg,0.9725476888719815,9.584681778869152,0.3328388673728072,0,0,1,0,1,0
2,Lassa,0.033988931941808465,7.8,0.35929126404056067,0.6338,0,1,0,1,0
2,CCHF,0.04133805720974535,20.619448783432546,0.19801459451883682,0.002,0,1,0,1,1
2,Nipah,0.41081663261648316,13.138357025669032,0.6537978619225101,0,0,1,0,1,0
2,Zika,0.08070129864430124,12.496022526366488,8.930223632133038e-22,0,0,0,1,0,1
2,Mpox,1.3051715727792925,8.159258014639441,0.06821570568422193,0.522,0,1,0,1,0
2,H1N1_18,2.1998974638199376,2.343621256510798,0.020982383646682885,0,1,0,0,0,0
2,H2N2,1.599225106355975,2.5752671271217618,0.02,0,1,0,0,0,0
2,H3N2,1.795296154145504,3.4572193824768944,0.02,0,1,0,0,0,0
2,H1N1_09,1.7683071835902426,2.7397056141149077,2e-4,0,1,0,0,0,0
2,H5N1,0.02625504775347248,6.896498555816196,0.41628151557423115,0,1,0,0,1,0
2,SARS,2.2167524435916737,2.4980401672405113,0.09557153911706909,0.006,1,0,0,0,0
2,MERS,2.7827849094665242,11.646183053173269,0.3151675397628169,0,1,0,0,1,0
3,COVID-19_WT,2.797720482930494,4.676053279414118,0.034262598060534624,1,1,0,0,0,0
3,COVID-19_A,4.643627006283927,4.470640962209432,0.024763879494892622,1,1,0,0,0,0
3,COVID-19_D,4.938957772240109,3.8687061382349768,0.020638124286787005,0.4506,1,0,0,0,0
3,COVID-19_O,7.430137236124407,3.4545223296511463,0.006955808361907959,0.9998,1,0,0,0,0
3,Ebola,3.4645011149728573,15.361319718166548,0.6135799775537476,0.0012,0,1,0,1,0
3,Marburg,1.005049462161791,4.47996802261973,0.4486165622948616,0.033,0,1,0,1,0
3,Lassa,0.9194261005492714,7.8,0.3374543743338703,0.7828,0,1,0,1,0
3,CCHF,0.0016710598322725576,10.506460555349205,0.23945530272562507,0.0028,0,1,0,1,1
3,Nipah,0.2988649006970643,12.822127841538048,0.7467869981731047,0,0,1,0,1,0
3,Zika,0.1380865640790344,11.727380724155017,8.497841318259183e-6,0,0,0,1,0,1
3,Mpox,1.2615255448524365,10.559523791851005,0.07280464052578384,0.459,0,1,0,1,0
3,H1N1_18,1.9565130061515814,2.8394108038625423,0.028422388572411014,2e-4,1,0,0,0,0
3,H2N2,1.6436426785405407,3.4933752926483934,0.02,0.008,1,0,0,0,0
3,H3N2,1.6399581910375058,2.7970422346238633,0.02,0,1,0,0,0,0
3,H1N1_09,1.469059777608673,3.098752931581728,2e-4,0,1,0,0,0,0
3,H5N1,0.027239054733563983,4.357251416875871,0.6687406466605418,0,1,0,0,1,0
3,SARS,1.9088854618418125,8.843519385423836,0.08769661928040359,0.1052,1,0,0,0,0
3,MERS,0.5753659205187527,9.649925490361138,0.5286863377395696,6e-4,1,0,0,1,0
4,COVID-19_WT,2.7708333397517437,4.92532818743986,0.025677460088512266,0.882,1,0,0,0,0
4,COVID-19_A,4.427694056422138,4.514835569058611,0.025035589956383237,0.9912,1,0,0,0,0
4,COVID-19_D,6.711934730256044,3.8518656902172164,0.011375837409427974,1,1,0,0,0,0
4,COVID-19_O,8.35576644859315,2.973330687195563,0.004008292035678913,1,1,0,0,0,0
4,Ebola,2.6452320971904046,14.782863794345122,0.5674511366369434,0.001,0,1,0,1,0
4,Marburg,0.9314571180583042,4.626681241941185,0.7348453020469413,0,0,1,0,1,0
4,Lassa,1e-5,7.8,0.3341334731972359,0.7944,0,1,0,1,0
4,CCHF,0.01920147657397347,11.934674933793834,0.15299805502131203,0.0018,0,1,0,1,1
4,Nipah,0.73696211062821,12.312419019786637,0.6637879033914452,0,0,1,0,1,0
4,Zika,0.10644319949908485,13.231171008017023,3.61799069579599e-5,0,0,0,1,0,1
4,Mpox,1.2966963235449729,10.324594408220811,0.051510083629983355,0.454,0,1,0,1,0
4,H1N1_18,1.6656737900600818,3.0027531963656626,0.026476278139917743,0.9974,1,0,0,0,0
4,H2N2,1.6342090131839657,4.045844245758472,0.02,0,1,0,0,0,0
4,H3N2,1.7278558957406471,2.6652631921198577,0.02,0.01,1,0,0,0,0
4,H1N1_09,1.6525094220189342,2.479328614435495,2e-4,0.9958,1,0,0,0,0
4,H5N1,0.3015061087166476,4.645803945365911,0.5025528988515705,0,1,0,0,1,0
4,SARS,2.0442654802870432,6.571527979158026,0.09509800655477409,0.1088,1,0,0,0,0
4,MERS,0.7111962790203379,13.042010106269071,0.3569173810390303,0.0028,1,0,0,1,0
5,COVID-19_WT,3.0519946361133052,4.828067908267632,0.02948981075272187,1,1,0,0,0,0
5,COVID-19_A,4.192222337813843,4.039850762840018,0.02447641898737632,1,1,0,0,0,0
5,COVID-19_D,5.8079252497775045,3.8992242106044124,0.012808198016450514,1,1,0,0,0,0
5,COVID-19_O,10.604238556505626,3.05539147948486,1.3454904633635633e-9,0.9964,1,0,0,0,0
5,Ebola,2.4067628018898706,15.214663439884095,0.581740966670512,6e-4,0,1,0,1,0
5,Marburg,0.363072428339117,2.6788777003893998,0.7439835085383723,0,0,1,0,1,0
5,Lassa,1.0885800350841743,6.727338193652039,0.34121643976721083,0.7866,0,1,0,1,0
5,CCHF,0.014508864067081656,8.420745739506915,0.117,0.002,0,1,0,1,1
5,Nipah,0.24694050391987232,13.930475388690692,0.5901711379985883,0.0122,0,1,0,1,0
5,Zika,0.08486090767718385,11.054234412322915,3.5607080260483914e-17,0,0,0,1,0,1
5,Mpox,1.8086759862092903,8.623913451162245,0.045126436788876956,0.047,0,1,0,1,0
5,H1N1_18,1.9246328068615874,2.3846845131466603,0.026303440182248315,0.3132,1,0,0,0,0
5,H2N2,1.660339888883489,3.432243786021083,0.02,0,1,0,0,0,0
5,H3N2,1.6613646724897884,3.3366169550220732,0.02,0,1,0,0,0,0
5,H1N1_09,1.534907845078289,3.1793566160647306,2e-4,0,1,0,0,0,0
5,H5N1,0.021329023003247856,6.90688472294633,0.644598870971518,0.057,1,0,0,1,0
5,SARS,1.294373232376265,6.175859424624652,0.10079062655359956,0.0066,1,0,0,0,0
5,MERS,0.6462225536383609,10.4710831056697,0.31981523888318786,0.013,1,0,0,1,0
6,COVID-19_WT,3.264783530643075,4.977287629981321,0.033307645807835046,1,1,0,0,0,0
