MCMC_Iteration,Pathogen_Name,R0_sampled,SI_Clust_sampled,CFR_sampled,IP_sampled,LP_sampled,InfP_sampled,k_sampled,Route_resp,Route_direct,Route_sexual,Route_animal,Route_vector
1,COVID-19_WT,2.6080860498525484,4.835317531766455,0.02399243169167202,6.450596715534239,5.293899780927964,9.176998117166002,0.6496137373896351,1,0,0,0,0
1,COVID-19_D,5.973541761672048,3.8870478576453023,0.010162596180322045,4.539219079603404,4.311135338600929,5.8878160621240125,0.715381410617882,1,0,0,0,0
1,COVID-19_O,10.126960608345911,3.2241207370717713,0.004174462193951345,3.4120255425476915,2.6012504006248083,4.076866513442871,0.31758627723271526,1,0,0,0,0
1,Ebola,3.8591344603676325,13.898366214996535,0.5968138708900235,8.549471757522005,9.527144674782932,5.837842190695824,0.7970663070256152,0,1,0,1,0
1,Marburg,0.2744117572135644,8.464823468974307,0.6424730094641395,6.292995229102489,6.697427195823866,3.188193766893503,0.6065363196077446,0,1,0,1,0
1,Mpox,1.2965943228065389,7.97200313554248,0.060224328333204534,6.439623167233319,3,9.196385052105986,0.41740882417717107,0,1,0,1,0
1,H1N1_18,2.2893080512539172,3.128472130769863,0.021200943796343727,1.34,1.5625167448550379,0.943451228498914,0.7415564032799989,1,0,0,0,0
1,H1N1_09,1.713304326625465,2.361890055829578,2e-4,1.4607158186848122,2.270310220045584,3.0685984647953113,5.480453877843693,1,0,0,0,0
1,SARS,2.0985049841237333,13.530867599338322,0.09460571315737996,4.178634312142677,5.6033333333333335,6.888678069190766,0.09830393192869259,1,0,0,0,0
1,MERS,3.0919036340968815,10.140078030390537,0.3936424100924986,6.544752586116373,7,15.762307618240088,1e-5,1,0,0,1,0
2,COVID-19_WT,2.85804954710214,4.808753971764898,0.024392289535618422,5.048148592523443,5.149438453248208,9.44479597561676,0.7275910724798875,1,0,0,0,0
2,COVID-19_D,4.370890417908768,3.7703219506755836,0.0225415967947627,4.621816712229137,4.417819417283966,6.085112099080851,0.5191821945698624,1,0,0,0,0
2,COVID-19_O,9.838186776656233,3.118568410056149,0.004523478643468597,3.5131435773989073,2.493585778952095,4.1600817244895465,0.1872945527493128,1,0,0,0,0
2,Ebola,3.2753288483783853,14.39929674258497,0.5828918150742248,8.023362206996845,9.908138172398814,6.404115117738986,0.22992697240166762,0,1,0,1,0
2,Marburg,1.24700662441399,11.742196869446417,0.6336647266819666,6.91832341829096,7.0085101073380915,2.9179050728533973,0.5566375548754205,0,1,0,1,0
2,Mpox,1.847353059532346,7.134169674716777,0.05609744683456506,6.40352397431631,3,3.7920208920985634,0.02011428469006113,0,1,0,1,0
2,H1N1_18,2.7041666520871694,2.891400531000613,0.023694615780160886,1.34,1.5753682473686235,0.780332297061097,1.1561919094066884,1,0,0,0,0
2,H1N1_09,1.8591990319370058,2.245482132249668,2e-4,2.0219367111345807,2.8209296096589354,2.4165245059714686,6.935310276783599,1,0,0,0,0
2,SARS,1.788164986708028,6.066745061131116,0.10106017926911962,4.358336805240164,6.1033333333333335,6.437399983482594,0.22437012570277245,1,0,0,0,0
2,MERS,2.7899954797382502,14.68457729125824,0.35314314086543636,6.096639946543764,7,20.08123256390442,0.033905230899351525,1,0,0,1,0
3,COVID-19_WT,3.0607559512165916,4.812601231057862,0.02758161322656856,6.035079960091419,5.293005439045105,8.814664903805665,0.44981003137548425,1,0,0,0,0
3,COVID-19_D,5.196679179371127,3.816740255090274,0.0027650896120762626,4.735816510717893,4.440812903430567,4.784545557936491,0.6522060017812396,1,0,0,0,0
3,COVID-19_O,11.169648652815434,3.072108869813437,0.005725568424939889,3.2435124438445935,2.5079155697952062,3.5118970887604704,0.3414414089124813,1,0,0,0,0
3,Ebola,2.239071640376108,14.625440586707297,0.6351253977685909,8.412799715693794,9.906988852874349,6.587093293238517,0.25087794488401455,0,1,0,1,0
3,Marburg,1.5586037919598246,4.803962651529366,0.6133205089795765,7.138839120138298,6.381774431994819,2.759048837965182,0.607467041437555,0,1,0,1,0
3,Mpox,0.8,8.484391961637469,0.06517072276841979,8.758116729693537,3,3.3434194973902978,0.1992744391845965,0,1,0,1,0
3,H1N1_18,2.262295292965303,2.6941479663857244,0.025373042188825076,1.34,1.6441555835914536,1.2911449798432133,1.4973624436601378,1,0,0,0,0
3,H1N1_09,1.6626146720943475,2.5589306603034743,2e-4,1.6859160435311138,2.6635956922279744,2.6739868768202024,7.860097219374904,1,0,0,0,0
3,SARS,2.143917979768777,3.0376900875785986,0.11009172278657968,4.8354459464056,6.6033333333333335,5.570387175145605,0.09296715194605887,1,0,0,0,0
3,MERS,2.1280771212224265,14.082314833223915,0.3583761453559852,6.189647344022394,7,13.883688445002361,0.06926081771302908,1,0,0,1,0
