"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",500,323,265,0,109,112,2,16,156,227
"COVID-19_O",323,500,101,0,137,143,0,0,12,64
"COVID-19_WT",265,101,500,0,40,42,5,162,361,450
"Ebola",0,0,0,500,0,0,452,140,39,5
"H1N1_09",109,137,40,0,500,494,0,0,15,31
"H1N1_18",112,143,42,0,494,500,0,0,15,32
"Marburg",2,0,5,452,0,0,500,114,85,7
"MERS",16,0,162,140,0,0,114,500,179,194
"Mpox",156,12,361,39,15,15,85,179,500,365
"SARS",227,64,450,5,31,32,7,194,365,500
