MCMC_Iteration,Pathogen_Name,R0_sampled,SI_Clust_sampled,CFR_sampled,Presymp_Proportion_sampled,LP_sampled,IP_sampled,InfP_sampled,k_sampled,Route_resp,Route_direct,Route_sexual,Route_animal,Route_vector
1,COVID-19_WT,2.6080860498525484,4.835317531766455,0.02399243169167202,1,5.44814736641657,6.752712930923892,9.2249538064954,0.6419537267111083,1,0,0,0,0
1,COVID-19_D,5.098756502964366,3.9728086156631406,0.010454161378381156,1,4.364666435477316,4.5139836080491085,4.47272385458955,0.4410373359132876,1,0,0,0,0
1,COVID-19_O,8.069642960311375,3.2492994385230127,0.0034732547387165595,0.3972,2.6304303746400395,3.395290121250693,4.208822714144876,0.19080667484691644,1,0,0,0,0
1,Ebola,2.733635665090767,14.97162395906893,0.578,0.0012,11.063584792056675,8.563957771856048,7.063445163647338,0.5664732192725949,0,1,0,1,0
1,Marburg,0.7057348590146779,10.636914014561889,0.6251298911201578,0,6.249568331601311,6.8964016460439606,2.6270033792495924,0.5763486272050746,0,1,0,1,0
1,Mpox,1.2894748100401223,7.216027758618558,0.053762302826525325,0,3,6.485598585087498,5.742134328166018,0.2610837826008785,0,1,0,1,0
1,H1N1_18,2.6981284926608726,2.5045434377529783,0.028695855280744677,0,1.626441935769497,1.34,0.7930313137894878,1.3370830987717692,1,0,0,0,0
1,H1N1_09,1.5115770460648341,2.7116515821871015,2e-4,0,2.4904981333577476,1.7135155516600544,3.8316773109822093,7.819336187276466,1,0,0,0,0
1,SARS,1.7010299744768165,6.538498784530423,0.10441119294524669,0.0048,6.206666666666666,4.019336193640803,9.773402711427591,0.2576967150943553,1,0,0,0,0
1,MERS,2.3953964308160653,13.79672305860061,0.4274240727575726,0.0014,7,7.043161590579444,18.546248352183582,0.03203618362087859,1,0,0,1,0
2,COVID-19_WT,2.696894315283094,4.6859337977960545,0.033977936649348034,1,5.120830266208011,5.7512465244339825,8.64800609454144,0.7306074782218404,1,0,0,0,0
2,COVID-19_D,5.9921180557350375,3.9355342278952365,0.016422642377631635,0.967,4.300352731549085,4.754406966337443,6.23733571796888,0.7968951702399576,1,0,0,0,0
2,COVID-19_O,9.644308883900868,3.0996728518314263,0.006209597134320326,0.9994,2.7130989110013846,3.2793773790522756,4.691682783710479,0.18631587825205476,1,0,0,0,0
2,Ebola,1.8442769901664426,14.870946123555083,0.578,4e-4,12.27,9.357312196524108,6.526507097932805,0.46307028200029626,0,1,0,1,0
2,Marburg,1.0902008681560371,5.8656052275975705,0.6096199016888663,0.0372,6.6250607105758474,5.842006771505286,2.9435902521769677,0.5408023634966889,0,1,0,1,0
