MCMC_Iteration,Pathogen_Name,R0_sampled,SI_Clust_sampled,CFR_sampled,k_sampled,IP_sampled,LP_sampled,InfP_sampled,Route_resp,Route_direct,Route_sexual,Route_animal,Route_vector
1,COVID-19_WT,2.673128565054656,4.659783049756064,0.03481707795386477,0.6040381375193967,5.872382909135911,5.4879981013388,6.812153053284191,1,0,0,0,0
1,COVID-19_A,4.547301443741493,3.3213366524168406,0.029370125716745958,NA,4.990743524117504,NA,NA,1,0,0,0,0
1,COVID-19_D,4.561068052061747,3.8383499575711246,0.003193552214356058,0.5683254358985654,4.832940154324664,4.378151745527799,6.28292468889028,1,0,0,0,0
1,COVID-19_O,8.233366977286806,3.034389787012888,0.0049955472494066224,0.3095140248267161,3.443352175089653,2.7375314603031655,3.6540380735985005,1,0,0,0,0
1,Ebola,1.9135734545183358,14.63003184799307,0.578,0.45375790822861245,7.366304718357431,11.24162145286147,5.856575710737732,0,1,0,1,0
1,Marburg,1.626635876114185,5.010001872179619,0.6929253680454709,0.6217430311356206,6.807394752709609,6.177336597217423,3.3263455548991567,0,1,0,1,0
1,Lassa,1e-5,4.127392345851957,0.32637867714589575,NA,12.64628418532515,NA,NA,0,1,0,1,0
1,CCHF,0.026370852090776307,5.657190774168416,0.25664597675695394,NA,5.569199458527651,NA,NA,0,1,0,1,1
1,Nipah,0.3168562658232289,12.44309420882001,0.5569208675664048,NA,8.875344684746322,NA,NA,0,1,0,1,0
1,Zika,0.007109745398503566,10.00786738075994,4.328639954607071e-12,NA,5.929036164774377,NA,NA,0,0,1,0,1
1,Mpox,1.2656029363378427,14.486012411278494,0.04909216895247691,0.18924738972357727,7.6461934333498345,3,6.443599214346659,0,1,0,1,0
1,H1N1_18,2.159568097296939,2.631530250439617,0.02003248734538928,1.0900875735339006,1.34,1.6267349284586696,1.0271222601768657,1,0,0,0,0
1,H2N2,1.611620706999097,2.724690634487746,0.02,NA,2.1378191375305367,NA,NA,1,0,0,0,0
1,H3N2,1.7413385435498447,3.2699775183720217,0.02,NA,1.48,NA,NA,1,0,0,0,0
1,H1N1_09,1.5824085637511298,2.999325601197245,2e-4,8.678270484654059,1.8188564983450615,2.2726162154672025,3.7273725352578175,1,0,0,0,0
1,H5N1,0.7868207314367796,6.909510048800465,0.6226773444441959,NA,5.158135543686248,NA,NA,1,0,0,1,0
1,SARS,2.166255458802587,3.5659626209555957,0.10060882254181458,0.18318496298040318,4.638798137202862,6.81,7.027585318064079,1,0,0,0,0
1,MERS,0.581222380385225,13.833474644699969,0.3656038361175762,0.05174670831833571,5.737400888601906,7,15.276009997565323,1,0,0,1,0
1,HIV,1.4877410573627807,NA,0.9,NA,1850.3332787933396,NA,NA,0,1,1,0,0
1,Cholera,1.623617119910339,NA,0.045,NA,1.547731155710468,NA,NA,0,1,0,0,0
1,Measles,20.376579412566947,NA,0.012548622805993047,NA,10.625780459240001,NA,NA,1,0,0,0,0
1,Norovirus,2.011703976026874,NA,1.8485446953977023e-24,NA,1.127400302860692,NA,NA,0,1,0,0,0
1,SFTS,0.144014215770988,NA,0.10615231320402037,NA,8.628952190532608,NA,NA,0,1,0,0,1
1,EVA71,9.881424186991648,NA,0.021322195356034888,NA,3.6493494658351313,NA,NA,1,1,0,0,0
1,hMPV,1.2,NA,0.049456147508348786,NA,4.324095251765145,NA,NA,1,1,0,0,0
1,Plague,5.5536138215601545,NA,0.25920959283726863,NA,3.3911605062393297,NA,NA,1,0,0,1,1
1,Smallpox,6.318894882992069,NA,0.49432527898572254,NA,16.692974956153993,NA,NA,1,1,0,0,0
1,Chikungunya,1e-5,NA,3.699674418703747e-5,NA,0.6374255315962369,NA,NA,0,0,0,0,1
1,RVFV,1e-5,NA,0.5254787491659045,NA,4.271268619445732,NA,NA,0,0,0,0,1
1,Anthrax,1e-5,NA,0.45,NA,6.178738564945243,NA,NA,1,1,0,1,0
2,COVID-19_WT,2.8444367285724605,5.020610048288074,0.024383197708038658,0.49613963820596413,5.67440546389178,5.407338344806006,6.520437101014748,1,0,0,0,0
2,COVID-19_A,4.394622822035518,4.1241364852911975,0.02573124071854406,NA,5.160193739765233,NA,NA,1,0,0,0,0
2,COVID-19_D,5.2249939883041385,3.96372113971453,0.02005969675321508,0.7318679327904472,4.556732432585574,4.433998946377431,6.00623918005736,1,0,0,0,0
2,COVID-19_O,7.940890484064421,3.212732422226268,0.0034756276322716025,0.244604943568273,3.555882280181498,2.593169188570182,3.7641992509185855,1,0,0,0,0
2,Ebola,2.603646227545335,17.162624955683157,0.5977790384056307,0.23996239564971894,8.139579299147496,12.27,7.265401063018971,0,1,0,1,0
2,Marburg,1.5595462311911823,4.40050231928291,0.627236275089077,0.587813428535419,5.0769376944601134,6.532102852168108,3.4998231813414082,0,1,0,1,0
2,Lassa,4.119667370045362e-5,17.780267808474164,0.34430850315316625,NA,11.795503660758179,NA,NA,0,1,0,1,0
2,CCHF,0.006130828687480294,10.672918876760317,0.11788510089881168,NA,5.516991122816905,NA,NA,0,1,0,1,1
2,Nipah,1.2770083528385379,12.935787545462071,0.7406558085310402,NA,8.50409309608595,NA,NA,0,1,0,1,0
2,Zika,0.007700102848188345,11.688458999418836,6.377107624190357e-4,NA,6.837759031323746,NA,NA,0,0,1,0,1
2,Mpox,1.2842279778884351,9.667412704461672,0.04521619403949432,0.7289408163421711,8.21583671515814,3,5.502665173602753,0,1,0,1,0
2,H1N1_18,2.4851043280775555,2.6133712958203374,0.02415846013988022,1.4119732514420338,1.34,1.6516271535809344,1.214334389816985,1,0,0,0,0
2,H2N2,1.6512021708170346,3.8375022945940245,0.02,NA,2.1704624922860765,NA,NA,1,0,0,0,0
2,H3N2,1.740063366038104,3.142111783673554,0.02,NA,1.48,NA,NA,1,0,0,0,0
2,H1N1_09,1.5004231496114833,2.97326405868113,2e-4,7.5034435937363035,1.6571299840308813,2.5596605366619825,4.150355305531259,1,0,0,0,0
2,H5N1,0.06678203000038493,6.739481045247791,0.48585298624826956,NA,4.703343450762351,NA,NA,1,0,0,1,0
2,SARS,1.6332056282190721,3.8111464729975713,0.09414325395831592,0.21620058680836884,4.011991836695287,5.6033333333333335,7.954426147310976,1,0,0,0,0
2,MERS,1.3871555981427712,13.750936175708537,0.41409241743976843,21.04613165353101,6.151021457647779,7,15.249948404382966,1,0,0,1,0
2,HIV,2.5943573510885436,NA,0.9,NA,2688.868955892274,NA,NA,0,1,1,0,0
2,Cholera,1.8144656276570228,NA,0.045,NA,1.3922824610346594,NA,NA,0,1,0,0,0
2,Measles,19.048270609043005,NA,0.013285222310311475,NA,17.707398428053207,NA,NA,1,0,0,0,0
2,Norovirus,2.2970387916109907,NA,1.2047850547212341e-85,NA,1.1361868013841405,NA,NA,0,1,0,0,0
2,SFTS,0.12504088832246005,NA,0.10248992910642356,NA,9.629693547714394,NA,NA,0,1,0,0,1
2,EVA71,6.25185423150627,NA,0.015981135974621787,NA,7.794858351611921,NA,NA,1,1,0,0,0
2,hMPV,1.2,NA,0.03664617255256023,NA,5.640798175779545,NA,NA,1,1,0,0,0
2,Plague,7.346325720594175,NA,0.3030275354767627,NA,4.537438771608571,NA,NA,1,0,0,1,1
2,Smallpox,5.606805581593657,NA,0.5477305986311296,NA,17.40810967513948,NA,NA,1,1,0,0,0
2,Chikungunya,1e-5,NA,4.1296381234978044e-8,NA,1.2814696550026183,NA,NA,0,0,0,0,1
2,RVFV,1e-5,NA,0.18737525293151114,NA,3.669397403491575,NA,NA,0,0,0,0,1
2,Anthrax,1e-5,NA,0.45,NA,6.456105623389915,NA,NA,1,1,0,1,0
3,COVID-19_WT,2.797720482930494,4.676053279414118,0.034262598060534624,0.4245217808748292,6.288088539334017,5.398190535040127,8.621416430322295,1,0,0,0,0
3,COVID-19_A,4.612033342093054,3.382577322791294,0.028811968003302928,NA,5.1004665853961315,NA,NA,1,0,0,0,0
3,COVID-19_D,7.524362298997021,3.8664876613918038,0.019387164332948147,0.4274369898043609,4.900274134874688,4.5703335538842,6.081548233748897,1,0,0,0,0
3,COVID-19_O,8.578980104669023,3.050360482966094,0.003489178796260821,0.19887569754057383,3.568380032858704,2.957004084014982,3.355695714455862,1,0,0,0,0
3,Ebola,1.741007665398263,15.159169828333164,0.578,0.2698601901451358,8.398270794204674,9.857191632271295,5.872177976233912,0,1,0,1,0
3,Marburg,1.6131165586727851,10.964647633916337,0.5276801404362862,0.595527962700499,4.452256783328907,6.592178768497072,3.5817153169533382,0,1,0,1,0
3,Lassa,0.00330711124510029,6.711181659805197,0.32878180479128016,NA,14.636359325852961,NA,NA,0,1,0,1,0
3,CCHF,0.01928069569602221,7.425004132870158,0.22412964346005593,NA,5.611193491004309,NA,NA,0,1,0,1,1
3,Nipah,0.2760169033425479,13.312009017207304,0.5755273549629543,NA,9.364207593620286,NA,NA,0,1,0,1,0
3,Zika,0.24114705869034367,12.625597287275484,1.847756014982616e-4,NA,6.468586132969878,NA,NA,0,0,1,0,1
3,Mpox,0.8,8.601882177761588,0.05842675799674735,0.22437644311527485,8.768375114215257,3,7.518801776026071,0,1,0,1,0
3,H1N1_18,2.2188353579132505,2.633057750647398,0.02398659901385461,1.361939261447042,1.34,1.5156110908284586,0.7600438916795932,1,0,0,0,0
3,H2N2,1.6306641052031197,3.105678472525645,0.02,NA,2.2791868727512505,NA,NA,1,0,0,0,0
3,H3N2,1.8003723787063144,2.5962191672041066,0.02,NA,1.48,NA,NA,1,0,0,0,0
3,H1N1_09,1.6146240253917337,2.4959972853776926,2e-4,5.340819881111081,1.849709559206811,2.797376912116379,3.823743684028651,1,0,0,0,0
3,H5N1,0.6097468072248344,8.800400359913446,0.73336412792652,NA,5.087297120416604,NA,NA,1,0,0,1,0
3,SARS,2.1656103305092858,12.93475747612162,0.09168609622302311,0.1463443861694586,4.694524874114046,5.6033333333333335,8.138424287169713,1,0,0,0,0
3,MERS,0.5169793557632417,11.718197639589036,0.44642177742527334,1e-5,7.24994785436372,7,16.99776919926605,1,0,0,1,0
3,HIV,2.423988394980141,NA,0.9,NA,2897.6733316315836,NA,NA,0,1,1,0,0
3,Cholera,1.575851208960246,NA,0.045,NA,1.5767589828585693,NA,NA,0,1,0,0,0
3,Measles,32.954897871600494,NA,0.013436254432274817,NA,16.936898013569554,NA,NA,1,0,0,0,0
3,Norovirus,2.064347603896552,NA,5.795378107831048e-42,NA,1.2155053252925745,NA,NA,0,1,0,0,0
3,SFTS,0.1351104778527496,NA,0.10344165851339779,NA,11.163410830497414,NA,NA,0,1,0,0,1
3,EVA71,6.132473599941963,NA,0.01834061829399578,NA,5.667174031057241,NA,NA,1,1,0,0,0
3,hMPV,1.2,NA,0.03987421831611191,NA,6.68610039068646,NA,NA,1,1,0,0,0
3,Plague,7.47848352718985,NA,0.3587496654541291,NA,1.8726022668717313,NA,NA,1,0,0,1,1
3,Smallpox,5.587544964027851,NA,0.49476964641185583,NA,16.4383885298234,NA,NA,1,1,0,0,0
3,Chikungunya,1e-5,NA,1.5531801933621795e-4,NA,1.4110135946514202,NA,NA,0,0,0,0,1
3,RVFV,1e-5,NA,0.27629100306619636,NA,4.240465648756128,NA,NA,0,0,0,0,1
3,Anthrax,1e-5,NA,0.45,NA,9.197531324125173,NA,NA,1,1,0,1,0
4,COVID-19_WT,2.7708333397517437,4.92532818743986,0.025677460088512266,0.7218868495270432,5.4913834209409,5.019617813323368,8.157478871177654,1,0,0,0,0
4,COVID-19_A,4.274401170094041,3.5383246305943348,0.026102840424381452,NA,4.977529010760888,NA,NA,1,0,0,0,0
4,COVID-19_D,5.3107505985954475,4.184511079974259,0.00447210932262798,0.6412621496921161,4.638798966050005,4.570744725462365,7.009347622562715,1,0,0,0,0
4,COVID-19_O,9.487748088018135,3.0513836633224005,0.0035700341511818836,0.09784011242700122,3.8048976056346313,2.514091270086753,3.3213117997749406,1,0,0,0,0
4,Ebola,3.1158038481446293,14.57989707273991,0.6750065404592325,0.2058815703638903,8.470734253119762,12.27,7.739570232911449,0,1,0,1,0
4,Marburg,0.9897158469905754,9.719933524240563,0.720192187046064,0.6085303826881402,6.054651638051062,6.1673484439753175,3.687487563706623,0,1,0,1,0
4,Lassa,0.1780522360347576,13.779625972451218,0.31851519359957325,NA,12.523929563912828,NA,NA,0,1,0,1,0
4,CCHF,0.037127687723540616,14.97081021233962,0.13439882252033558,NA,6.022692201951288,NA,NA,0,1,0,1,1
4,Nipah,0.6721489466199447,12.908568770793082,0.4919560327910891,NA,8.011969284673922,NA,NA,0,1,0,1,0
4,Zika,0.18375498874734697,11.854142605669624,6.943766801016823e-18,NA,6.9247384838370385,NA,NA,0,0,1,0,1
4,Mpox,1.3292934234947933,8.410362502165013,0.05960037828729655,0.8209937378629804,6.792415878150107,3,5.837540613089508,0,1,0,1,0
