"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",5000,3379,2694,0,1936,1936,16,58,849,2233
"COVID-19_O",3379,5000,1123,0,2061,2061,0,0,15,730
"COVID-19_WT",2694,1123,5000,0,1210,1210,151,1042,2759,4432
"Ebola",0,0,0,5000,0,0,4244,1439,458,25
"H1N1_09",1936,2061,1210,0,5000,5000,7,0,134,973
"H1N1_18",1936,2061,1210,0,5000,5000,7,0,134,973
"Marburg",16,0,151,4244,7,7,5000,1017,1129,172
"MERS",58,0,1042,1439,0,0,1017,5000,1419,1396
"Mpox",849,15,2759,458,134,134,1129,1419,5000,2868
"SARS",2233,730,4432,25,973,973,172,1396,2868,5000
