"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",0,0.3242,0.4612,1,0.6128,0.6128,0.9968,0.9884,0.8302,0.5534
"COVID-19_O",0.3242,0,0.7754,1,0.5878,0.5878,1,1,0.997,0.854
"COVID-19_WT",0.4612,0.7754,0,1,0.758,0.758,0.9698,0.7916,0.4482,0.1136
"Ebola",1,1,1,0,1,1,0.1512,0.7122,0.9084,0.995
"H1N1_09",0.6128,0.5878,0.758,1,0,0,0.9986,1,0.9732,0.8054
"H1N1_18",0.6128,0.5878,0.758,1,0,0,0.9986,1,0.9732,0.8054
"Marburg",0.9968,1,0.9698,0.1512,0.9986,0.9986,0,0.7966,0.7742,0.9656
"MERS",0.9884,1,0.7916,0.7122,1,1,0.7966,0,0.7162,0.7208
"Mpox",0.8302,0.997,0.4482,0.9084,0.9732,0.9732,0.7742,0.7162,0,0.4264
"SARS",0.5534,0.854,0.1136,0.995,0.8054,0.8054,0.9656,0.7208,0.4264,0
