MCMC_Iteration,Pathogen_Name,R0_sampled,SI_Clust_sampled,CFR_sampled,Presymp_Proportion_sampled,k_sampled,LatentPeriod_sampled,InfectiousPeriod_sampled,IncubationPeriod_sampled,Route_resp,Route_direct,Route_sexual,Route_animal,Route_vector
1,COVID-19_WT,3.3506340175758917,5.074487666335752,0.05834300993991828,1,0.7643870627729981,5.572035045989191,8.914514275240531,7.74178724971056,1,0,0,0,0
1,COVID-19_D,5.586317408964188,3.7577534243398416,0.0039212871461199415,0.9638,0.9182884915202589,4.468785408839825,3.380699586662241,4.23403533537165,1,0,0,0,0
1,COVID-19_O,5.106181092501748,3.39493418778812,0,0.9996,0.16865964616815607,2.63283728029912,4.0727294951947135,3.2071542924676972,1,0,0,0,0
1,Ebola,1.4347517379076382,14.818946344090392,0.463354839364756,0,0.5898124293945055,8.172667619089399,8.139567297490686,8.180313914040779,0,1,0,1,0
1,Marburg,1.579372354447702,15.19891796655692,0.6087248299123159,0.0236,0.6059891786466076,6.545752896821507,2.9228737417244255,7.357675032111659,0,1,0,1,0
1,Mpox,1.7586569031284336,8.149978480251981,0,0.2616,0.17923027620207424,NA,7.22234867080525,5.652363928573763,0,1,0,1,0
1,H1N1_18,1.6998052874670018,0.9800078295645496,0.02492761230303704,0.0016,0.773822052601492,1.6406513553620001,1.0488441021293673,NA,1,0,0,0,0
1,H1N1_09,1.4146935507832152,1.9131929541138535,2.1739337265367509e-4,0.0808,7.001020028266853,2.5795268648467338,3.35575819421923,1.269437005845965,1,0,0,0,0
1,SARS,2.9337245351556764,10.883456001177866,0.09635790526537383,0.1858,0.2646210920792108,NA,3.583646152556752,4.875679941507222,1,0,0,0,0
1,MERS,0.7016260542914116,5.206876115418142,0.5408687699411252,0,1.2865860635828106,NA,21.196156371971867,8.408738843972742,1,0,0,1,0
2,COVID-19_WT,2.8066267990529536,4.628583558991992,0.02846249131246478,1,0.6733769889033386,4.277500237760789,9.282194585657958,5.671532359164646,1,0,0,0,0
2,COVID-19_D,5.475761788659978,4.20166142598805,0.003435180546674042,1,0.22697016688327154,4.347992196461552,6.534188259311758,5.071808097760558,1,0,0,0,0
2,COVID-19_O,11.546248022037737,3.329755394265566,0.0073725952877306275,0.9994,0.3601373937518415,2.682524162374511,2.9135323971413865,3.3827197085973695,1,0,0,0,0
2,Ebola,1.8189506078908224,14.073171250545585,0.6331067192524951,0.0024,0.3238930780312229,9.31233377867888,4.475686690745764,8.649660112214066,0,1,0,1,0
2,Marburg,1.5607120619793835,3.8078609705039934,0.6069318616544923,0.3244,0.6519166057105846,6.318204172619761,2.984810677893238,6.785086115767057,0,1,0,1,0
2,Mpox,1.832372611597617,9.136535270567697,0.041064559042702294,0.0446,0.6474060878884369,NA,2.9835476990494914,27.623580496698533,0,1,0,1,0
2,H1N1_18,3.335048109200722,4.128223585354319,0.021574295752346498,0,1.066635496887767,1.6483288524320778,0.5327849974562571,NA,1,0,0,0,0
2,H1N1_09,0.9997821630661364,3.9877788730444803,1.855365009790781e-4,0,7.620264366195639,2.6969597745281177,3.5599626323118,1.000781780211941,1,0,0,0,0
