MCMC_Iteration,Pathogen_Name,R0_sampled,SI_Clust_sampled,CFR_sampled,k_sampled,LatentPeriod_sampled,InfectiousPeriod_sampled,IncubationPeriod_sampled,Route_resp,Route_direct,Route_sexual,Route_animal,Route_vector
1,COVID-19_WT,3.3506340175758917,5.074487666335752,0.05834300993991828,0.7643870627729981,5.572035045989191,8.914514275240531,7.74178724971056,1,0,0,0,0
1,COVID-19_D,5.511776592468837,3.682451659412635,0.0038484662888109322,0.9259696481423458,4.204338065103389,4.255636284088553,5.012465642768257,1,0,0,0,0
1,COVID-19_O,5.978576281940311,3.198232293256841,0.006741827912546327,0.08513308334893367,2.5190272579859174,3.762745426777747,3.3425811231408282,1,0,0,0,0
1,Ebola,1.9097666859416302,15.233924846788288,0.6415225540132047,2.1092771938502843,8.270490042892146,6.075238200061087,8.437270160343745,0,1,0,1,0
1,Marburg,1.34003388161037,10.932349902085463,0.5692383871966196,0.5455398398673763,6.56462325736414,3.431097849750071,7.388795511737396,0,1,0,1,0
1,Mpox,1.74647985816335,3.6759924531975896,0.01816147158244011,0.4332672356979258,NA,5.5939002859404106,7.229993108905206,0,1,0,1,0
1,H1N1_18,1.6834515663989484,3.7084050781845574,0.029757715936046803,1.2058625992427785,1.5922238044031953,0.29309857920189075,NA,1,0,0,0,0
1,H1N1_09,1.5622467800426079,2.729793749079648,1.9987603475460754e-4,5.717052967590893,2.4522690017714206,3.383867369256854,1.6108898353624332,1,0,0,0,0
1,SARS,0.7763799908071711,4.272901204849673,0.09742102689809881,0.20267350712140197,NA,5.993503855962119,3.871844245552153,1,0,0,0,0
1,MERS,0.3883066369315892,14.39132424331132,0.49409547166863,0.802319413498283,NA,12.525863050471948,6.911535777502429,1,0,0,1,0
2,COVID-19_WT,2.940350144901157,4.665610560620988,0.02499800750345145,0.6158581688079259,5.667553774724372,22.45160823599548,4.13699956917341,1,0,0,0,0
2,COVID-19_D,5.261933644857304,3.640705324331935,0.0024804002860081263,0.6008106782057052,4.441666764057015,4.9090642467739025,5.126507777890685,1,0,0,0,0
2,COVID-19_O,7.262395815530041,3.1245452912236957,0.006852774340490367,0.4582852441470536,2.603036344373704,4.143066112566973,2.953820508543708,1,0,0,0,0
2,Ebola,6.779645825715363,20.10986028666802,0.6320566183731992,2.1222542655589423,9.390801473925313,0,8.011170571419946,0,1,0,1,0
2,Marburg,1.1118465795421466,3.650159642752694,0.7030002267495481,0.6179114176306411,6.242756342404515,2.995071604289523,8.54822121635632,0,1,0,1,0
2,Mpox,1.8434553556997575,8.318849493871896,0.029056072567025207,0.18426933053584135,NA,4.427008491337638,7.982591676516362,0,1,0,1,0
2,H1N1_18,2.3754254864649256,3.4287743810447293,0.03002826396533526,0.9588220621566473,1.583097419789422,0.7730562085465673,NA,1,0,0,0,0
